63	163	263	363	463	563	663	763	863	963	1063	1163
64	164	264	364	464	564	664	764	864	964	1064	1164
65	165	265	365	465	565	665	765	865	965	1065	1165
66	166	266	366	466	566	666	766	866	966	1066	1166
67	167	267	367	467	567	667	767	867	967	1067	1167
68	168	268	368	468	568	668	768	868	968	1068	1168
69	169	269	369	469	569	669	769	869	969	1069	1169
70	170	270	370	470	570	670	770	870	970	1070	1170
71	171	271	371	471	571	671	771	871	971	1071	1171
72	172	272	372	472	572	672	772	872	972	1072	1172
73	173	273	373	473	573	673	773	873	973	1073	1173
74	174	274	374	474	574	674	774	874	974	1074	1174
75	175	275	375	475	575	675	775	875	975	1075	1175
76	176	276	376	476	576	676	776	876	976	1076	1176
77	177	277	377	477	577	677	777	877	977	1077	1177
78	178	278	378	478	578	678	778	878	978	1078	1178
79	179	279	379	479	579	679	779	879	979	1079	1179
80	180	280	380	480	580	680	780	880	980	1080	1180
81	181	281	381	481	581	681	781	881	981	1081	1181
82	182	282	382	482	582	682	782	882	982	1082	1182
83	183	283	383	483	583	683	783	883	983	1083	1183
84	184	284	384	484	584	684	784	884	984	1084	1184
85	185	285	385	485	585	685	785	885	985	1085	1185
86	186	286	386	486	586	686	786	886	986	1086	1186
87	187	287	387	487	587	687	787	887	987	1087	1187
88	188	288	388	488	588	688	788	888	988	1088	1188
89	189	289	389	489	589	689	789	889	989	1089	1189
90	190	290	390	490	590	690	790	890	990	1090	1190
91	191	291	391	491	591	691	791	891	991	1091	1191
92	192	292	392	492	592	692	792	892	992	1092	1192
93	193	293	393	493	593	693	793	893	993	1093	1193
94	194	294	394	494	594	694	794	894	994	1094	1194
95	195	295	395	495	595	695	795	895	995	1095	1195
96	196	296	396	496	596	696	796	896	996	1096	1196
97	197	297	397	497	597	697	797	897	997	1097	1197
98	198	298	398	498	598	698	798	898	998	1098	1198
99	199	299	399	499	599	699	799	899	999	1099	1199
100	200	300	400	500	600	700	800	900	1000	1100	1200
1	189	296	357	448	511	691	706	865	983	1080	1160
2	177	291	313	496	522	681	712	829	965	1059	1119
3	165	286	370	443	533	671	718	894	947	1038	1179
4	153	281	326	491	544	661	724	858	929	1017	1138
5	141	276	383	438	555	651	730	822	911	1097	1198
6	129	271	339	486	566	641	736	887	994	1076	1157
7	117	266	396	433	577	631	742	851	976	1055	1116
8	105	261	352	481	588	621	748	815	958	1034	1176
9	194	256	308	428	599	611	754	880	940	1013	1135
10	182	251	365	476	509	601	760	844	922	1093	1195
11	170	246	321	423	520	692	766	808	904	1072	1154
12	158	241	378	471	531	682	772	873	987	1051	1113
13	146	236	334	418	542	672	778	837	969	1030	1173
14	134	231	391	466	553	662	784	801	951	1009	1132
15	122	226	347	413	564	652	790	866	933	1089	1192
16	110	221	303	461	575	642	796	830	915	1068	1151
17	199	216	360	408	586	632	701	895	998	1047	1110
18	187	211	316	456	597	622	707	859	980	1026	1170
19	175	206	373	403	507	612	713	823	962	1005	1129
20	163	201	329	451	518	602	719	888	944	1085	1189
21	151	297	386	499	529	693	725	852	926	1064	1148
22	139	292	342	446	540	683	731	816	908	1043	1107
23	127	287	399	494	551	673	737	881	991	1022	1167
24	115	282	355	441	562	663	743	845	973	1001	1126
25	103	277	311	489	573	653	749	809	955	1081	1186
26	192	272	368	436	584	643	755	874	937	1060	1145
27	180	267	324	484	595	633	761	838	919	1039	1104
28	168	262	381	431	505	623	767	802	901	1018	1164
29	156	257	337	479	516	613	773	867	984	1098	1123
30	144	252	394	426	527	603	779	831	966	1077	1183
31	132	247	350	474	538	694	785	896	948	1056	1142
32	120	242	306	421	549	684	791	860	930	1035	1101
33	108	237	363	469	560	674	797	824	912	1014	1161
34	197	232	319	416	571	664	702	889	995	1094	1120
